Nombre,Categoría padre/Nombre
Componentes,false
Almacenamiento,Componentes
Discos HDD,Almacenamiento
Discos HDD 2.5,Almacenamiento
Discos SSD - M2,Almacenamiento
Discos USB Externos,Almacenamiento
Discos USB Externos,Almacenamiento
Opticos,Almacenamiento
Pen Drive,Almacenamiento
Tarjetas de Memoria,Almacenamiento
Fuentes,Componentes
Gabinetes,Componentes
Memorias,Componentes
DDR2,Memorias
DDR3,Memorias
DDR4,Memorias
DDR5,Memorias
SODDR3,Memorias
SODDR4,Memorias
Motherboards,Componentes
Amd,Motherboards
Intel,Motherboards
Placas,Componentes
Placas controladoras,Placas
Placas de Video,Placas
Placas de sonido,Placas
Procesadores,Componentes
Amd,Procesadores
Intel,Procesadores
Ventiladores,Componentes
Conectividad,false
Cables y Adaptadores,Conectividad
Adaptadores Alimentacion,Cables y Adaptadores
Adaptadores Audio,Cables y Adaptadores
Adaptadores Molex,Cables y Adaptadores
Adaptadores USB,Cables y Adaptadores
Adaptadores Video,Cables y Adaptadores
Cables Audio,Cables y Adaptadores
Cables Energia y datos,Cables y Adaptadores
Cables USB,Cables y Adaptadores
Cables UTP,Cables y Adaptadores
Cables Video,Cables y Adaptadores
Camaras IP,Conectividad
Interfaces,Conectividad
Hub y lectores Usb,Interfaces
Interfaces USB,Interfaces
Redes,Conectividad
Cableadas,Redes
Inalambricas,Redes
Impresion,false
Laser,Impresion
Tinta,Impresion
Insumos,false
CDs - DVDs - Sobres,Insumos
CDs Virgen,CDs - DVDs - Sobres
DVDs Virgen,CDs - DVDs - Sobres
Sobres,CDs - DVDs - Sobres
Cartuchos Tinta,Insumos
Cartuchos Alternativos Epson,Cartuchos Tinta
Cartuchos Alternativos HP,Cartuchos Tinta
Cartuchos Originales BROTHER,Cartuchos Tinta
Cartuchos Originales EPSON,Cartuchos Tinta
Cartuchos Originales HP,Cartuchos Tinta
Papeleria,Insumos
Resmas,Papeleria
Tintas - Cintas,Insumos
Botella Tinta Alternativa,Tintas - Cintas
Botella Tinta Original BROTHER,Tintas - Cintas
Botella Tinta Original EPSON,Tintas - Cintas
Botella Tinta Original HP,Tintas - Cintas
Cintas Alternativas,Tintas - Cintas
Insumos para fax,Tintas - Cintas
Toner,Insumos
Toner Alternativos para BROTHER,Toner
Toner Alternativos para HP,Toner
Toner Alternativos para PANTUM,Toner
Toner Alternativos para RICOH,Toner
Toner Alternativos para SAMSUNG,Toner
Toner Alternativos para XEROX,Toner
Toner Originales Brother,Toner
Toner Originales HP,Toner
Toner Originales para PANTUM,Toner
Perifericos,false
Auriculares - Microfonos,Perifericos
Auriculares in ear,Auriculares - Microfonos
Auriculares on ear,Auriculares - Microfonos
Microfonos,Auriculares - Microfonos
Energia,Perifericos
Cargadores,Energia
Cargadores USB,Energia
Estabilizadores,Energia
Pilas - Baterias,Energia
Estuches,Perifericos
Joysticks - Gamepads,Perifericos
Soportes - Limpieza - Accesorios,Perifericos
Accesorios,Soportes - Limpieza - Accesorios
Bases para notebook,Soportes - Limpieza - Accesorios
Limpieza,Soportes - Limpieza - Accesorios
Teclados - Mouses - Pad,Perifericos
Lector de Codigos,Teclados - Mouses - Pad
Mouses con cable,Teclados - Mouses - Pad
Mouses inalambricos,Teclados - Mouses - Pad
Pad para Mouse,Teclados - Mouses - Pad
Teclados + Mouse inalambricos,Teclados - Mouses - Pad
Teclados con cable,Teclados - Mouses - Pad
Webcams,Perifericos
Servicios,false
Tecnologia,false
Audio,Tecnologia
Parlantes 2.0 2.1 5.0 USB,Audio
Parlantes Bluetooth,Audio
Cpu,Tecnologia
Monitores,Tecnologia
Notebooks,Tecnologia
